SMILES,template
C1(C2=CC=CC=C2)OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
CC(C=C1)=CC=C1C2OC2,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
C1(C2=CC=C(C3=CC=CC=C3)C=C2)OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
ClC(C=C1)=CC=C1C2OC2,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
COC1=CC(C2OC2)=CC=C1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
FC(C1=CC(C2OC2)=CC=C1)(F)F,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
ClC1=CC(C2OC2)=CC=C1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
CC1=CC=CC=C1C2OC2,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
ClC1=CC=CC=C1C2OC2,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
C1(C#CC2=CC=CC=C2)OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
